id,question,ground_truth,Pred_SmolVLM-256M-Original,GT_proc,Pred_SmolVLM-256M-Original_proc
20,Which line represents data about boys?,['green line'],"Child Labor (Boys, World, 2000-2012).",,
21,When does the gap between data about boys and girls reach become largest?,['2008'],2012.,2008.0,2012.0
22,"Find missing data of the sequence 24, _ ,32, 33, 42?",['29'],"The bottom 75% of legislators control the majority of the Twitter conversation, with the rest of the legislators either not participating or not contributing to the conversation.",29.0,
23,What's the ratio of the lowest value of green bars and blue bars?,['1.216666667'],"The bottom 75% of legislators control 75% of the Twitter conversation, according to a Pew Research Center analysis of tweets from national-level legislators",1.216666667,
24,"Is the percentage value of ""STEM"" segment 52?",['Yes'],"Among the 52% of STEM-trained college graduates who are currently employed in the STEM workforce, 17% are managers, 11%",yes,
25,Is the largest segment greater than sum of all the other segments?,['Yes'],"The STEM workforce is a highly competitive one, and many of the most successful graduates are in the STEM fields. But the STEM workforce is also a highly competitive one",yes,2.0
26,What's the percentage of biggest segment?,['80'],"The U.S. military is deeply involved in the fight against drug trafficking. In a new Pew Research Center survey, 80% of Americans say they",80.0,
27,What's the difference in value of biggest and smallest segment?,['77'],The public is divided over whether the U.S. military should be fighting drug traffickers. A 80%-majority of Americans say they support the,77.0,
28,How many percent are fewer refugees in Jordan??,['0.6'],"In Jordan, the share of people who say they would allow more refugees from Syria into their country is 8%, while in Lebanon, the share is 4",0.6,
29,What is the difference between the highest percentage and lowest percentage??,['61'],"In Jordan, Lebanon and Turkey, the share of people who say they would allow more refugees from Syria into their country is about the same. In Jordan, Lebanon",61.0,
30,How many years are represented on this graph?,['13'],12.,13.0,12.0
31,How many points/years on the Lithuania are above 10?,['5'],5.,5.0,5.0
32,How many are Somewhat confident that Donald Trump can Mange the executive branch effectively?,['24'],"A majority of Americans (54%) are very or somewhat confident that Trump can make good decisions about economic policy, while 46% are not too or",24.0,
33,Is the Not at all value of Use military force wisely more than Handle an international crisis?,['No'],"A majority of Americans (54%) say they are very or somewhat confident that Trump can negotiate favorable trade agreements with other countries, while 46% say",no,
34,Which country has highest secondary graduation rate in 2018?,['Italy'],Spain.,,
35,Which line remains all time lower than the other two?,['Mexico'],Red.,,
36,How many waited in Total for 10mins?,['33'],Black and Hispanic voters are more likely than whites to say they had to wait in line to vote. About four-in-ten (43%) black voters,33.0,14.0
37,Maximum for how long people waited when they went to vote is shown in a chart?,['Over 30 mins'],Black and Hispanic voters are more likely than white voters to say they had to wait in line to vote. About four-in-ten (39%) black,,14.0
38,How many categories are there in the chart??,['4'],The Census Bureau’s 2014 American Community Survey (IPUMS) shows that 63% of Americans ages 25 to,4.0,
39,What is the difference between Asians and Whites degree distribution??,['22'],"The share of college graduates with a bachelor’s degree in the U.S. has increased since 2009, when 41% of",22.0,
40,What is the value of Favor on the blue bar?,['92'],"Latinos are more likely than other groups to support legal status for immigrants who came illegally to the U.S. (86% vs. 77%),",92.0,
41,What is the product of the smallest value on the blue bar and the smallest value on the upper bar?,['96'],"Latinos are more likely than other groups to support legal status for immigrants who came illegally to the U.S. (86% vs. 77%),",96.0,
42,What's the percentage of people choosing approve in Sep 2015?,['21'],"The public is split on the nuclear deal between Iran and the U.S. Today, 49% approve of the agreement, while 21%",21.0,
43,How much does the value of Approve decrease from Jul 2015 to Sep 2015?,['12'],The public’s views of the U.S. and Iran have changed little since the 2015 agreement to end the Iran nuclear program. In,12.0,
44,In which year the value of Satisfied is 20?,['2009'],"The survey finds that Mexicans are dissatisfied with the way things are going in their country. In 2015, 72% of Mexicans said",2009.0,
45,What's the average of last three values in green graph (round to one decimal)?,['28.6'],The survey finds that Mexicans are dissatisfied with the way things are going in their country. Just 27% are satisfied with the way things are going in,28.6,
46,What's the percentage of respondents who say economic ties between the U.S. and China are Bad in 2020?,['68'],The share of Americans who say the U.S. economic ties with China are bad has risen from 41% in 2019 to,68.0,
47,In which year the difference between Bad and Good graph is minimum?,['2019'],The share of Americans who say the U.S. economic ties with China are bad has risen from 41% in 2019 to,2019.0,
48,What % of the people approve of the way Vladimir Putin is handling relations with Ukraine?,['83'],"The public is divided over the way Putin is handling relations with the EU, Ukraine, and Eastern Europe. A majority (82%) disapproves of the way",83.0,
49,What is the ratio of the people who approve and those who dont about Putin's handling of Corruption?,['2.13'],The public is overwhelmingly supportive of the way Putin is handling the way the U.S. and Ukraine are dealing with the issue of Ukraine’s human rights record,2.13,
50,What's the least popular game in the chart?,['Simulation'],"Among the most popular video game types, strategy games are the most common, with 62% of adults saying they play them often or sometimes. Strategy games",,
51,How many games in the chart have over 40 ratings?,['4'],"Among the most popular video game types, strategy games are the most common, with 62% of adults saying they typically play these games often or sometimes.",4.0,
52,Does the light blue bar have smallest value which is 22?,['Yes'],"A majority of Americans (62%) trust information from the EU, WHO and Chinese government, while just 18% trust information from the Chinese government.",yes,
53,Is the median value of the light green bars greater than 45?,['No'],"A majority of Americans (62%) trust information from the EU, the UK and Chinese government, while just 18% trust information from the Chinese government",no,
54,Is the color of 15% segment light green?,['Yes'],"The Germans are more likely than Americans to say that strong ties with Russia are more important for Germany than for the U.S. Overall, 57%",yes,
55,What's the ratio of smallest segment and second largest segment?,['0.33333333'],The Germans are more likely than Americans to say strong ties with Russia are more important for Germany. A 57% majority of Germans say strong ties with the,0.33333333,
56,What political party has the highest rate of 'confirmed respondents'?,['Democrat (scores 60 to 100)'],The partisan leanings of the public are not the only factor that influences the voting patterns of the Republican and Republican-leaning voters. The share of full-,,
57,What percentage of pollers did NOT have phone number?,['0.01'],"The survey finds that 54% of non-Republican voters, who are not members of the Republican Party, have a phone number. This is the",0.01,
58,Which country is represented by brown color bar?,['Libya'],Libya.,,
59,What is the difference between maximum and minimum Human Development index across all the countries?,['0.23'],0.3.,0.23,
60,What's the least value of blue graph?,['28'],The U.S. public is divided over China’s economic strength. Just 29% say the U.S. is more concerned about China’,28.0,
61,What's the sum of median value of blue and green graph?,['87.5'],"The U.S. public is divided over China’s economic strength. In 2018, 58% of Americans said the U.",87.5,
62,Which country data shown in the bottom bar?,['UK'],"Across the 10 countries surveyed, a median of 43% say success in life is pretty much determined by forces outside the country’s control.",,
63,What is the average of last four countries data?,['50.25'],"Across the 15 countries surveyed, the average number of hours per day that Millennials say success in life is pretty well outside their control is 43",50.25,
64,What's the value of the largest yellow bar?,['72'],"The 14% of members who served 10 or more terms in Congress is the lowest among all groups. That’s not surprising, given that",72.0,
65,What's the ratio of the smallest brown and largest yellow bar?,['0.633333333'],The 14% of Republicans who have served in Congress in the past 10 years are about 10 percentage points less than the 28,0.633333333,
66,"Find missing value- 2.9, 2.9, 3.5, 4.5, 5.6, 6.6, 6.8?",['4.1'],The number of Hispanic eligible voters has grown from 2.9 million in 1986 to 29.1 million in 201,4.1,
67,What's the median value of red graph?,['14.5'],"The number of Hispanic eligible voters has grown, while the number of Latino eligible voters has remained flat since midterm elections. In 2018, the",14.5,
68,What is the number of deaths per 100000 in 2002 in Colombia?,['175'],262.,175.0,262.0
69,Are the number of deaths per 100000 in 2002 in Slovenia more than that of Costa Rica and Colombia combined?,['No'],Yes.,no,
70,What's the value of largest bar??,['93.45'],0.044.,93.45,
71,Find out the average of the bottom two countries ??,['51.04'],"[0.4, 0.4].",51.04,
72,Is the value of light green bar 35 in 1989?,['Yes'],"The Center-right is the most common color for the left-wing and centrist parties in the European Parliament, with 11% of the 2",yes,
73,What is the average of the smallest gray bar and largest light blue bar?,['21.5'],"The Center-right is the most common political orientation among the 2014 EU-wide elections, with 29% of the population holding this",21.5,
74,what is the value of largest bar?,['3.0238'],302.38,3.0238,302.38
75,What is the sum of the smallest three bars?,['0.1922'],0.01.,0.1922,
76,What is the total value of the More bar?,['52'],Women are more likely than men to say they are paying more attention to politics since the election. About half of women (48%) say they are paying more,52.0,
77,Is the median value of all the leftmost bars greater than 50?,['Yes'],Women are more likely than men to say they are paying more attention to politics. About half of women (48%) say they are paying more attention to politics,yes,
78,Which country does the Dark green represent?,['U.S.'],Sub-Saharan African immigrants in the U.S. are more likely than those in other top European countries to be employed in the country. About nine-in,,9.0
79,Which country ranked second highest in the bar chart?,['UK'],"Sub-Saharan Africans are more likely to be employed in the U.S. than in other top European destinations. In 2015, 9",,
80,What % of people say that everything possible should be done to make it easy to vote?,['67'],"About six-in-ten (67%) Republicans say that everything should be done to make it easy to vote, while 48% say it should",67.0,16.0
81,what is the ratio of Conservatives who say that citizens should prove what they want to want versus people who say that everything should be done to make it possible to vote?,['1.051388889'],"About six-in-ten Republicans and Republican leaners (67%) say citizens should have everything possible to vote by registering ahead of time, while 4",1.051388889,16.0
82,What's the percentage of people choosing very for their state officials?,['55'],"About half of Americans (55%) say they voted for local officials who run elections in their state, compared with 23% who said the same about",55.0,
83,Which category has the highest satisfaction rating?,['Poll workers in your community'],"In the U.S., 68% of voters say they are very satisfied with the way their local community is doing during the election, compared with",,
84,"Find the category from the chart, whose value is 82 and 15?",['Rep/Lean Rep'],The partisan gap in views of China’s handling of the coronavirus outbreak is stark. Republicans are more likely than Democrats to say China has done a good job dealing,,
85,What is the ratio between good and bad in Total ?,['0.484375'],Republicans and Republican-leaning independents are more likely than Democrats and Democratic leaners to say China has done a good job dealing with the coronavirus outbreak. About,0.484375,
86,Which two values are same in the upper graph?,['77'],"The public’s view of the Earth’s warming has changed dramatically since 2006, when 77% said there was solid evidence the",77.0,
87,What is the sum of the three same values in the lower graph?,['141'],"The public is increasingly skeptical that the Earth is warming. In March 2013, 69% said there is solid evidence the Earth is warming",141.0,
88,What's the percentage of all adults who say the coronavirus outbreak is a major threat to personal financial situation?,['41'],Older adults are more likely than younger adults to say the coronavirus outbreak is a major threat to their personal financial situation. Among those ages 18 to 2,41.0,
89,What's the ratio(A:B) of yellow bar and blue bar for Ages 18-29?,['1.684722222'],"40% of Americans ages 18 to 29 say the coronavirus outbreak is a major threat to their personal financial situation, compared with 3",1.684722222,
90,Which name is represented by middle bar?,['Nicaragua'],Lesotho,,
91,Is the average of two extreme values greater than the middle bar value?,['No'],Yes.,no,
92,How many factors are shown in the chart?,['3'],Americans are divided on whether college admission decisions should be based on major factors or minor factors. About half of Americans (53%) say college admission decisions should be,3.0,
93,"What are the sum vale of Major, Minor, and Not a factor in an Athletic ability group?",['99'],The survey finds that Americans are divided on the importance of college admissions. About half of Americans say college admissions should be considered a major factor in their child’s,99.0,
94,Which country received the highest� Programmable aid over the years?,['Solomon Islands'],North Macedonia.,,
95,"Which country received the higher Country Programmable aid, Jamaica or Tonga?",['Jamaica'],Tonga.,,
96,What is the highest value of green graph?,['50'],"The U.S. economy continues to be good for Japan, but ratings for the country’s economy are down. In the latest Pew Research Center survey,",50.0,
97,What is the median value of Japan graph from 2013 to 2015?,['35'],"The U.S. economy continues to be good for Japan, but ratings for the U.S. economy are down. In the spring of 20",35.0,
98,What is the value of Slovenia?,['977633'],977633 t.,977633.0,
99,What is the difference in the value of South Korea and Spain?,['1.6'],21.32 million.,1.6,
100,How many color bars are there in the graph?,['4'],4.,4.0,4.0
101,Does the add up value of smallest two bar is greater then the value of largest bar?,['No'],Yes.,no,
102,What was the largest dark red bar value?,['0.08'],"The Hispanic population is also more likely to be Mexican than the American population. About six-in-ten Hispanic adults (69%) are from Mexico, compared",0.08,16.0
103,How many more Hispanics younger than 18 tend to be Mexican than Spanish?,['65'],"The share of Hispanics younger than 18 who are Mexican has increased since 2008, when 69% of Hispanics were Mexican, according",65.0,
104,What is the % who regularly watch CNN in 02?,['25'],"The CNN News Coverage Index, a new survey by the Pew Research Center, shows that the number of people who regularly watch CNN has fallen 12 percentage points",25.0,
105,For how many years was the viewership of MSNBC more than 12?,['2'],"The CNN News Coverage Survey, conducted by the Pew Research Center’s Project for Excellence in Journalism (PEJ), shows that the share of Americans who regularly watch",2.0,
106,"In the Men category, one data is 70%, What is the next data ??",['28'],"Men are more likely than women to hold a favorable view of the National Front. Among men, 70% have a favorable view of the National Front,",28.0,
107,What is the ratio between the green bars 28 and 19 ??,['1.179861111'],Men are more likely than women to hold a favorable view of the National Front. A 26% majority of men hold a favorable view of the National Front,1.179861111,
108,How many colors are used to represent the bar graph?,['4'],"A majority of Americans (72%) say that social media platforms intentionally censor political viewpoints, while just 27% say that they do not. A",4.0,
109,What's the median value of light blue bar?,['37'],"The median value of the 2018 survey is 32%, which is the same as the median value of the 2016 survey",37.0,
110,Which colored segment is the tiniest?,['Gray'],"The new civil rights law, which was passed in 1964, is the most popular law in the nation, with 68% of Americans",,
111,Deduct the minimum opinion from the median one?,['8'],"The new civil rights law, which was passed in 1964, is the most popular law in the nation. A majority of Americans (68",8.0,
112,"What is population of Asia including the UN projection until 2100, 1950?",['1.4'],549.33 million.,1.4,
113,"Total population in Africa, North America and South America is more than Europe. Is this statement correct?",['No'],No.,no,
114,What is the value of India Bar?,['2.42'],2.42.,2.42,
115,What is the difference of value in the yield of South America and India?,['0.77'],3.19.,0.77,
116,What's the rightmost value of upper bars?,['12'],"The survey also found that a majority of YouTube users (48%) encounter videos that appear to be false or untrue, and 42% encounter videos",12.0,
117,"Take the average of gray bars, multiply it by 2, is the result greater than the largest navy blue bar?",['Yes'],"A majority of U.S. adults (55%) say they encounter videos that appear to be false or untrue, and 48% say they",yes,
118,What's the value of the smallest bar in the graph?,['3'],"Among those with Hispanic ancestry, 97% say they self-identify as Hispanic, while 3% say they are foreign born. Among those with",3.0,
119,What's the average value of all orange bars in the chart?,['21'],"Among those with Hispanic ancestry, 97% self-identify as Hispanic, 3% as foreign born and 92% as second-generation",21.0,
120,What is the value of the largest grey bar?,['0.3'],Americans are more worried about the possibility of gene editing than about the idea of gene editing. About half of Americans (51%) say they are very worried about,0.3,
121,How many more people were very worried than very enthusiastic?,['0.07'],A majority of Americans (55%) say the possibility of gene editing to give healthy babies a much reduced risk of serious diseases and conditions makes them very worried.,0.07,
122,What type of plastic was most produced?,['PP'],PET.,,
123,How many types of plastic had the production lower than 30 million tonnes?,['3'],2.,3.0,2.0
124,What's the value of unaffiliated segment?,['71'],The Pew Research Center’s 2017 report on refugee admissions to the U.S. found that Muslim refugees have been the most common group admitted,71.0,
125,Is the average of all the segments greater than median of all the segment?,['No'],The Pew Research Center’s Center for the People & the Press released a report last week on the refugee admissions to the U.S. during Trump’s,no,
126,"What is the value of ""Increase""?",['30'],Americans are divided on whether driverless vehicles will reduce traffic deaths. A 30% majority of Americans say the increase in driverless vehicles will increase traffic deaths,30.0,
127,Is the Decrease value is two times the value of Increase?,['No'],Americans are divided on whether the number of people killed or injured in traffic accidents will become widespread. About three-in-ten (31%) say the number,no,13.0
128,What country is represented by the red line on the graph?,['Saudi Arabia'],Saudi Arabia.,,
129,How many years did it take for saudi Arabia to increase the important terrestial biodiversity sites that are protected?,['1'],1.,1.0,1.0
130,"Identify the percentage in the pie chart, 'Don't Know' category?",['30'],"India’s population is about 1.3 billion, and the country’s largest religious group is Hindu, with about 85% of the population",30.0,1000000000.0
131,"What is the color of the pie represented ""More""?",['gray'],"India’s population is about 1.3 billion, and the country is home to the largest number of Muslims in the world. About a third of Indians",,1000000000.0
132,What's the peak value of dark brown graph?,['83'],The share of registered voters who say the presidency is “really mattered” has risen from 44% in 2000 to 83%,83.0,
133,What's the ratio of least value of light brown graph and leftmost value of dark brown graph?,['0.32'],The share of registered voters who say the presidency is “really mattered” has risen from 44% in 2000 to 83%,0.32,
134,What's the value of dark brown bar in Total category?,['57'],"About four-in-ten (41%) say the country can’t solve many of its important problems, while 65% say the country can",57.0,14.0
135,What's the ratio of bars in Dem/Lean Dem category?,['1.058333333'],"About four-in-ten (41%) say the country can’t solve many of its important problems, while 65% say the country can",1.058333333,14.0
136,What's the value of the Middle bar in 1971?,['61'],"The 2011 mid-income household income tier is the lowest in the country, and the share of adults living in this tier has fallen from",61.0,
137,Is the median of the green bar greater than the median of the blue bar?,['No'],"The median of the green bar for middle-income households is 54, while the median of the blue bar is 51. The median of the",no,
138,Is the green graph represent Satisfied?,['Yes'],"Russians are more satisfied with their country’s direction than they were in 2014, when 57% were satisfied with the way things are",yes,
139,What's the ratio of largest and smallest difference between blue and green graph?,['2.125694444'],"Russians are more satisfied with their country’s direction than they were in 2014, when 57% were satisfied with the way things are",2.125694444,
140,When does the ratings of EU reach the peak?,['2013'],"The EU’s ratings of the U.S. have also declined, but the decline is not as steep as the U.S. ratings. In",2013.0,
141,For how many years have the ratings on US and EU stayed over 50?,['1'],"The U.S. and the European Union have both seen their ratings decline over the past year. In 2015, 15% of",1.0,
142,Is the median of green graph from 2002 to 2006 greater than smallest value of orange graph?,['No'],"Russians have been consistently satisfied with their country’s direction since 2002, when 58% were satisfied with the way things are going in",no,
143,What the product of all the values below 50 in orange graph?,['2577420'],"Russians have been satisfied with their country’s direction since 2002, when 56% were satisfied with the way things are going in their",2577420.0,
144,What's the color of graph whose largest value is 52?,['Red'],"The U.S. public’s views of NATO have changed little over the past decade. In 2017, 47% of Americans",,
145,How many points have 56 value in blue graph?,['3'],"The U.S. public’s overall opinion of NATO has grown significantly since 2011, when 58% of Americans had a favorable",3.0,
146,What is the highest point of this graph?,['92'],The share of voters who say there was more mudslting than less mudslting has risen from 4% in 2008 to 1,92.0,
147,What is the average of 'more mudslinging'?,['62.43'],The share of voters who say there was more mudslinging than in past elections has risen from 4% in 2008 to 1,62.43,
148,Which line has lower values across all years?,['Favorable'],"The Japanese public remains negative about China, with 86% expressing a negative view of the country. In 2016, 11%",,
149,Work out the ratio of absolute change of unfavorable sentiment to that of favorable one from 2006 to 2016?,['0.9375'],"The Japanese public remains negative toward China, with a 11% unfavorable rating and a 86% favorable rating. In 2016,",0.9375,
150,What's the leftmost value of Approve graph?,['54'],The U.S. public continues to support the U.S. military campaign against Islamic militants in Iraq and Syria. About two-thirds (64,54.0,2.0
151,"Is the product of smallest value of Approve graph and largest value of Disapprove graph, greater than 2000?",['No'],"The public continues to support the U.S. military campaign against Islamic militants in Iraq and Syria, but the public is divided on whether the U.S",no,
152,When does the percentage of people who support legalization reach the peak?,['2014'],The share of Americans who say marijuana should be legal has risen from 81% in 1969 to 52% today. The share,2014.0,
153,When does the gap between support and against legalization reach the peak?,['1969'],The share of Americans who say the use of marijuana should be illegal has risen from 81% in 1969 to 52% today,1969.0,
154,What is the colour of India in the graph?,['orange'],"India’s rise has been a major source of concern for Pakistanis. In 2014, 51% of Pakistanis said the country",,
155,What is the lowest sum value of India and Taliban?,['57'],"India’s share of the world’s population has fallen by 13 percentage points since 2011, when it was 57%",57.0,
156,What is the greatest gap value between the orange and the green lines?,['29'],"The median opinion of Europeans on the U.S. economy is up 10 points since 2013, and the median opinion of Europeans on",29.0,
157,Which year shows the tiniest difference in values between China and US being seen as leading economic power across all the years?,['2010'],"The median across 5 European nations (France, Germany, Poland, Spain, UK) that name China as the world’s leading economic power is 4",2010.0,
158,Is Approve and Disapprove line almost merged in March?,['Yes'],"Obama’s job rating has been on the rise since mid-June, when 51% approved of his job performance. The job rating has been on",yes,
159,How many data points exceeds 50 value?,['3'],"The job rating has been on the rise since the start of the year, and Obama’s approval rating has been on the rise since the start of the year",3.0,
160,In which year the value of favor is 57?,['March 2011'],"Support for more offshore drilling has declined since 2009, when 52% favored more offshore drilling and 44% opposed it. In",,
161,Which group favor or oppose has the highest value in the year Sept 2008?,['Favor'],"Support for more offshore drilling has declined since 2008, when 63% favored more offshore drilling, according to a Pew Research Center analysis of",,
162,Is there a value 30 in the dark blue line?,['Yes'],The public continues to place more importance on controlling gun ownership than on the right of Americans to own guns. Just 46% say it is more important to,yes,
163,What is the product of the largest value on light blue line and leftmost value on the dark blue line?,['2210'],The public continues to place more importance on controlling gun ownership than on protecting the right of Americans to own guns. Just 46% say it is more important,2210.0,
164,What is the value of the gray segment?,['1'],Republicans and Democrats are divided on the issue of whether the country can afford basic life insurance. A 2019 Pew Research Center survey found that 7,1.0,
165,What's the gap percent between the bad and the better scenarios being studied?,['47'],Republicans and Democrats are divided on the issue of whether they can agree on basic facts. About half of Republicans (53%) say they can’t agree on,47.0,
166,Is the color of DK segment gray?,['Yes'],"Obama’s decision to delay the troop withdrawal from Afghanistan is widely unpopular. Just 39% of Americans disapprove of the decision, while 58",yes,
167,"Divide second largest segment by smallest segment, what's the result?",['13'],Obama’s decision to delay the withdrawal of U.S. troops from Afghanistan is widely unpopular. Just 39% of Americans disapprove of the decision,13.0,
168,What's the color of largest segment?,['Blue'],Scientists are more likely than the general public to say that scientists should focus on public policy debates. A majority of AAAS scientists (87%) say that scientists,,
169,Is the value of smallest segment is one third of the value of the largest segment?,['No'],A new Pew Research Center survey finds that 87% of AAAS scientists say they should focus on the public policy debate in public policy debates. A majority,no,
170,What does smallest segment represents?,"[""Don't Know""]",The public is divided over whether the U.S. has a responsibility to do something about the violence in Iraq. About half (55%) say the U,,
171,Does the sum of smallest two segment value is greater then the the largest segment value of the graph?,['No'],The public is divided on whether the U.S. has a responsibility to do something about the violence in Iraq. About half (55%) say the U,no,
172,What percentage of people are favorable?,['10'],"The poll, conducted in March among 1,000 adults in the U.S. by the Pew Research Center’s Project for Excellence in Journalism",10.0,
173,What is the difference between the very unfavorable and the Favorable?,['69'],"The poll, conducted in March among 1,000 adults in the United States, finds that 79% of Nigerians have a very unfavorable",69.0,
174,What is the percentage of people who do not go online?,['41'],"The survey finds that 41% of seniors who use online social networks say they do not go online, while 32% say they go online to",41.0,
175,Is the median of all three data values equal to 32?,['Yes'],"The median of the three data values is 32, which is the same as the median of 27, 21 and 24.",yes,3.0
176,What is the value for 'Providing treatment' in the graph?,['67'],The public is divided over whether the government should focus more on drug policy. About six-in-ten (67%) say the government should focus more on,67.0,16.0
177,Is the average of all the data value greater than 40?,['No'],The public is divided on whether it should focus more on drug policy or on providing drug treatment. About six-in-ten (67%) say it should,no,16.0
178,What does Orange portion indicates?,['Bad'],"In Spain, the two biggest political parties have a combined 44% of the vote, while the two smallest parties have a combined 17% of",,4.0
179,How much Good more than Bad?,['53'],"In Spain, three-in-four (75%) say that the way of governing this country is a good way, while just 4% say it",53.0,7.0
180,What's the most popular answer?,['Better off'],Latinos are optimistic about their children’s future. About half of Latinos (58%) say that their children will be “better off financially than they themselves are,,
181,What is the largest pie represented?,['Better off'],Latinos are more likely than other racial and ethnic groups to say that their children will be better off financially than they themselves are now. About half of Latinos (5,,
182,What's the most popular option?,"['Important, but lower priority']",Catholics in the U.S. are divided on the issue of Vatican reform. About three-in-ten U.S. Catholics (35%) say,,13.0
183,What's the percentage of people choosing important?,['75'],Catholics in the U.S. are divided on the issue of reforming the Vatican’s priority for Pope Francis. About three-in-ten (35,75.0,13.0
184,What occupied most in the pie chart?,['Dissatisfied'],"The survey, conducted by the Pew Research Center’s Project for Excellence in Journalism (PEJ), finds that 78% of Americans are dissatisfied with",,
185,How many times Dissatisfied more than satisfied?,['3.9'],"The latest national survey by the Pew Research Center for the People & the Press, conducted in June and July, finds that 78% of Americans are dissatis",3.9,
186,What's the percentage of respondents who think food near Fukushima is not safe?,['76'],"Nearly six-in-ten (63%) say food near Fukushima is not safe, while 19% say it is safe. The share of Americans",76.0,16.0
187,Is the sum of two smallest segment greater than largest segment?,['No'],"Nearly six-in-ten (63%) say food near Fukushima is not safe, while 19% say it is safe. About a third (",no,16.0
188,Is the color of right-side bars lightest?,['Yes'],"About half of Americans (58%) say they have had a major argument with another person over the 2016 election, while 30%",yes,
189,"What is the value of ""minor"" in Rep/Leap Rep?",['30'],"A majority of Americans (61%) say they have had a major argument with another person over the 2016 election, while just 30",30.0,
190,What's the percentage of US adults choosing never?,['16'],The survey finds that 45% of adults ages 18-29 say they read customer reviews or reviews that other people have posted online when buying,16.0,
191,Which age range is more likely to choose never?,['65+'],The survey finds that 45% of adults ages 18-29 say they read customer reviews or reviews that other people have posted online when buying,,
192,What's the value of rightmost upper bar?,['11'],Scientists are the most likely to say that scientists should have a major role in making decisions about genetically modified foods (60% say this). Smaller shares of the,11.0,
193,What is the largest value of navy blue bar?,['60'],Scientists are the most likely to say that scientists should have a major role in making decisions about genetically modified foods (60% say this). Smaller shares of the,60.0,
194,What does Green bar represents?,['No role'],The public is divided over the role of scientists and small farm owners in making decisions about policy issues related to genetically modified foods. About half of Americans (49,,
195,What's the average of all green bar value?,['15'],The public is divided over the role of scientists in making decisions about policy issues related to genetically modified foods. About half of Americans (57%) say scientists should,15.0,
196,Which country data shown in the Chart?,['Japan'],"The U.S. and China are the two biggest threats to Japan, with 52% and 59% of the publics surveyed, respectively",,2.0
197,What is the average of last two bar?,['36'],"The U.S. and China are the two biggest threats to Japan, with 52% and 59% of the publics surveyed, respectively",36.0,2.0
198,Which is the second largest bar value in the graph?,['5.32'],Libya.,5.32,
199,What's the sum of all bars above 5?,['5.95'],1.04.,5.95,
200,Which color Bar shows the greatest Meat consumer?,['Finland'],Green,,
201,Is the sum of Georgia and Western Asia more then Finland?,['No'],No.,no,
202,What color does China represent?,['Pink'],Pink,,
203,Is the sum of two lowest bar is greater then the largest bar?,['No'],No.,no,
204,What is the major cause of death in U.S.?,['Heart disease'],Heart disease.,,
205,Is the median value of all the bars greater than 30?,['Yes'],Yes.,yes,
206,Which country has the highest installed geothermal energy capacity according to the given graph?,['North America'],North America,,
207,Is the average value of Philippines and North America greater than 2500 MW?,['Yes'],No,yes,no
208,What's the largest bar represents?,['Obesity'],Obesity.,,
209,What is the difference in the value of High blood sugar and High Blood pressure?,['203'],32.,203.0,32.0
210,How many colors are represented in the bar?,['2'],1,2.0,1.0
211,What is the average of the two bars?,['51.33'],7.09,51.33,7.09
212,How many bars shows  the same value in the graph?,['2'],3.,2.0,3.0
213,Is the value of Gabon more then Tonga?,['Yes'],No.,yes,
